,MAV,RMS,VAR,WL,ZC,SSC,WAMP,SSI,SD,ASM,ASS,CARD,COV,DAMV,DASDV,DVARV,IQR,KURT,LTKEO,MAD,SKEW,PF,BW,SE,PermEn,SamPen,FuzzyEn,ApEn,AMAX,PMI,HFMI
35,0.000766683,0.001755178,3.10E-06,0.869973686,397.2,406.9,817.3,0.00316361,0.001755178,0.78125026,23.1374977,1019,4232.609492,0.000854591,0.00185144,3.46E-06,0.000842676,35.28576821,-6.900489846,0.000766683,0.000100119,167.578125,26.953125,1.25E-09,0.693000687,0.007030069,0.006806844,0.003662163,0.01473718,0.073869285,0.317521804
36,0.001172638,0.001835239,3.41E-06,1.401475591,410.8,422.1,950.5,0.003606448,0.001835239,1.241823397,32.24902625,1059,194.1197678,0.001324646,0.002007159,4.08E-06,0.00173935,15.62730672,-6.621732121,0.001172642,0.000444484,169.140625,24.21875,1.13E-09,0.693043543,0.002828242,0.001594795,0.002399167,0.014319572,0.145486943,0.161194436
37,0.001078976,0.00178805,3.27E-06,1.278556002,407.2,421.4,927.7,0.003430135,0.00178805,1.132925229,30.23009335,1050,1421.975207,0.001218833,0.001962087,3.95E-06,0.001499062,24.98081518,-6.676869321,0.001078968,-0.000497958,173.828125,33.984375,1.09E-09,0.693090017,0.002664134,0.00151366,0.002494488,0.015695777,0.138287495,0.201720753
38,0.000925555,0.001900685,3.65E-06,1.005225711,380.8,393.6,820.3,0.003621493,0.001900684,0.919075899,25.36748608,993,20440.35645,0.001013332,0.001988267,4.01E-06,0.001075689,33.93169028,-6.802690746,0.000925556,-0.000533817,164.0625,29.296875,1.21E-09,0.693062018,0.006424155,0.005652118,0.003497119,0.017608303,0.074223878,0.261841612
39,0.000822843,0.001737149,3.05E-06,0.921683007,392.3,406.5,837.5,0.003119936,0.001737149,0.841768112,24.50218224,1023,1830.638993,0.000901842,0.001825132,3.38E-06,0.00094322,35.76400302,-6.925901482,0.000822842,-0.000776971,164.453125,26.5625,1.17E-09,0.693068095,0.008141222,0.006049046,0.003316458,0.016783236,0.070676873,0.278784037
40,0.001125031,0.00243967,5.99E-06,1.207107727,375.3,387.4,795.4,0.005825284,0.00243967,1.093530157,27.15611648,972,19550.42432,0.001243159,0.002571848,6.67E-06,0.001309018,36.29471352,-6.289841421,0.001125023,6.20E-05,171.09375,21.875,1.76E-09,0.693060524,0.012055818,0.010639011,0.004436277,0.023780448,0.046674469,0.373460119
41,0.001065457,0.002407565,5.89E-06,1.145588606,377.3,390.6,781.8,0.005714437,0.002407565,1.033492835,26.03567227,970,-1443.562804,0.001182238,0.002555195,6.65E-06,0.001167794,40.37757253,-6.302627293,0.001065462,0.00033555,169.921875,18.359375,1.73E-09,0.693072946,0.013093542,0.012505528,0.004624089,0.024516548,0.04913681,0.415046814
42,0.000601429,0.001898394,3.67E-06,0.752181261,427.7,441.5,771.4,0.004093184,0.001898394,0.671194285,21.3490543,1116,-1042.825562,0.000674602,0.00210024,4.48E-06,0.000567061,87.01340057,-6.462867468,0.000601427,0.000170282,193.359375,61.71875,1.44E-09,0.693035446,0.03007201,0.028527839,0.005556512,0.024334049,0.025344835,0.649911947
43,0.00105807,0.001517554,2.31E-06,1.056331568,335,347.9,795.5,0.002021736,0.001517553,0.925811109,25.63929491,875,-6405.845236,0.001208617,0.001738323,3.04E-06,0.001638488,8.418262554,-7.006566826,0.001058069,-0.001311379,191.015625,38.671875,6.01E-10,0.693010233,0.000685193,-0.000229653,0.002195382,0.009942216,0.220081932,0.109799715
44,0.000931321,0.001827343,3.35E-06,0.999907973,375,385.3,822.9,0.003255394,0.001827343,0.905243952,25.21038623,972,-77693.38046,0.001029771,0.001936162,3.76E-06,0.00115376,30.67972765,-6.832668756,0.000931322,-0.000398955,165.234375,19.53125,8.98E-10,0.693044822,0.006355077,0.005570374,0.003174774,0.015888258,0.102991937,0.3007493
45,0.000948724,0.001815059,3.31E-06,1.013577406,371.6,384.7,814.7,0.003182289,0.001815059,0.911724237,25.15678039,961,2604.955038,0.00105581,0.001935567,3.77E-06,0.001178226,29.54169896,-6.837437064,0.000948725,-0.000717902,162.890625,24.609375,8.57E-10,0.693071005,0.0051887,0.003819472,0.003153673,0.015870123,0.095654468,0.28260408
46,0.000850468,0.001676346,2.83E-06,0.93649271,387.1,399.6,838.6,0.002805296,0.001676346,0.84366395,24.63718034,992,-4539.893322,0.000944998,0.001778237,3.19E-06,0.001059311,31.0327584,-6.980732589,0.000850473,-0.000470301,162.5,16.015625,8.47E-10,0.693080279,0.005027174,0.003608115,0.003017813,0.014801036,0.103319443,0.273187794
47,0.000604187,0.000937295,8.84E-07,0.678244124,379.6,392.3,874.3,0.000864642,0.000937295,0.590895194,21.34114839,978,936.4454399,0.000694211,0.001075838,1.16E-06,0.000875016,14.81292434,-7.837195339,0.00060419,-0.000320188,173.828125,58.984375,2.42E-10,0.692948825,0.001226994,6.10E-05,0.001771761,0.006965834,0.680635389,0.093806674
48,0.000982738,0.002269516,5.18E-06,0.913507206,314.5,327,658.1,0.004223303,0.002269516,0.80093133,21.29728747,815,24.12189573,0.001122245,0.00256896,6.64E-06,0.001138575,52.16912049,-6.319437713,0.000982729,6.94E-05,176.953125,49.609375,1.55E-09,0.693069904,0.011936018,0.009449501,0.004611481,0.022353836,0.091025653,0.368264777
49,0.001104672,0.001765442,3.16E-06,0.942658189,294.3,302.4,674.8,0.002387369,0.001765441,0.834027576,22.1648005,755,994.6592198,0.00125021,0.001966175,3.92E-06,0.001541548,15.3972534,-6.970610973,0.001104687,-0.003774307,172.65625,30.078125,1.16E-09,0.692986739,0.002110149,0.000603881,0.002829377,0.012557675,0.148000571,0.217879829
50,0.00157691,0.002202844,4.88E-06,1.374655509,291,303.6,691.6,0.003688167,0.002202839,1.190566726,26.97266302,755,3536.491541,0.001823151,0.002571316,6.65E-06,0.002438553,5.860756312,-6.332415824,0.001576899,0.0008759,195.703125,56.25,1.60E-09,0.692963852,0.002647608,0.000694805,0.002804633,0.012257022,0.447688405,0.084946421
51,0.000893168,0.001792008,3.30E-06,1.037811008,398.7,412.1,843.2,0.003401715,0.001792007,0.920856217,25.72226883,1031,1518.396857,0.001007584,0.001968421,3.95E-06,0.001027139,22.03017187,-6.679554013,0.000893166,0.000301638,173.046875,46.875,1.07E-09,0.692959382,0.007891803,0.006976035,0.003434368,0.013437402,0.173899871,0.209823844
52,0.000878835,0.001898123,3.65E-06,1.03728319,407.8,419.4,847.4,0.003843868,0.001898122,0.924534786,25.73743952,1052,-13380.28042,0.000986949,0.002073789,4.35E-06,0.000966619,25.99565952,-6.562074828,0.000878837,-0.000234264,164.0625,37.5,1.17E-09,0.692979027,0.011305663,0.009287564,0.003840542,0.015058501,0.155489482,0.180990949
53,0.000964359,0.001823662,3.35E-06,0.876857997,316.8,324.9,692.8,0.002766887,0.001823661,0.797524497,21.62653463,827,986.6978964,0.001061571,0.001952698,3.84E-06,0.001132902,19.61448292,-6.941983099,0.000964351,8.92E-05,157.03125,24.609375,8.98E-10,0.69307389,0.004819364,0.003498802,0.003371827,0.013803973,0.156663312,0.260130411
54,0.001544646,0.002011036,4.21E-06,1.146868351,253.8,262.5,591.6,0.002696989,0.002011033,0.990118137,22.79250103,641,599.2262042,0.001791982,0.002321794,5.62E-06,0.00243918,0.86231052,-6.759842605,0.001544636,-0.008917653,180.859375,60.546875,1.05E-09,0.693050972,0.00124611,-0.000904901,0.00274053,0.007121626,0.398099163,0.082406101
55,0.000819079,0.001290842,1.67E-06,0.754925906,314,325.2,728.8,0.001360398,0.001290841,0.665911075,20.50161942,813,-1052.021352,0.000929712,0.001427455,2.05E-06,0.001139256,12.28873587,-7.533296514,0.000819072,3.13E-05,173.046875,37.109375,5.67E-10,0.693033723,0.001720811,0.000626956,0.002293067,0.009236232,0.362038736,0.148032558
56,0.001053046,0.001472812,2.54E-06,0.924265729,299.1,308.3,692.2,0.001930261,0.00147281,0.801368047,21.85441053,761,311.3444159,0.001216139,0.001705779,3.41E-06,0.001567044,4.140014015,-7.279814743,0.001053048,0.000610924,185.9375,60.15625,8.36E-10,0.693023553,0.00105056,6.15E-05,0.00233716,0.007908345,0.29608579,0.153875698
57,0.000799704,0.001126952,1.28E-06,0.894812776,375,388.3,884.3,0.001231708,0.001126951,0.772514239,24.60918877,966,-1189.389999,0.000927267,0.001324674,1.76E-06,0.001218066,6.099840846,-7.400914658,0.000799701,-0.000125272,198.4375,44.140625,3.32E-10,0.693059438,0.00062069,-0.000488129,0.001812959,0.006621053,0.451005842,0.081991553
58,0.001178804,0.002059338,4.27E-06,1.408977151,409.2,423.1,922.4,0.004463173,0.002059337,1.23185009,31.32857443,1045,-656.2953026,0.001349595,0.002340981,5.52E-06,0.001616984,22.15961914,-6.239691427,0.001178808,-0.000447552,182.8125,23.046875,1.42E-09,0.693052852,0.004394249,0.003130447,0.002905461,0.017544521,0.162373396,0.187471677
59,0.001343841,0.001950683,3.83E-06,1.030785193,262.7,271.8,613.2,0.002599465,0.001950681,0.911123881,22.19556161,678,-6448.194268,0.001522578,0.002169532,4.73E-06,0.001953336,6.578250745,-6.843737973,0.001343851,0.000486518,158.984375,46.875,1.26E-09,0.692975882,0.001474927,-0.000288126,0.002879698,0.011044353,0.223364438,0.167566342
